Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Status,Reactor Type,Model,Start Year,Retired Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retired Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL
Sweden,Agesta nuclear power plant,,,,12,retired,pressurized heavy water reactor,unknown,1964,1974,"December 1, 1957","July 17, 1963","May 1, 1964","May 1, 1964","June 2, 1974",Vattenfall AB,,Svafo AB,,10,9,80,59.2062,18.0814,Exact,,Stockholm County,,,Northern Europe,Europe,L500255,G500603,https://gem.wiki/Agesta_nuclear_power_plant
Russia,Akademik Lomonosov nuclear power plant,1,,,35,operating,pressurized water reactor,KLT-40S 'Floating',2020,,"April 15, 2007","November 2, 2018","December 19, 2019","May 22, 2020",,Rosatom,,Rosenergoatom,,32,30,150,69.7086,170.3011,Exact,,Pevek urban district,,Chukotka Autonomous Okrug,Eastern Europe,Europe,L500250,G500596,https://gem.wiki/Akademik_Lomonosov_nuclear_power_plant
Russia,Akademik Lomonosov nuclear power plant,2,,,35,operating,pressurized water reactor,KLT-40S 'Floating',2020,,"April 15, 2007","November 8, 2018","December 19, 2019","May 22, 2020",,Rosatom,,Rosenergoatom,,32,30,150,69.7086,170.3011,Exact,,Pevek urban district,,Chukotka Autonomous Okrug,Eastern Europe,Europe,L500250,G500597,https://gem.wiki/Akademik_Lomonosov_nuclear_power_plant
Türkiye,Akkuyu nuclear power plant,1,,,"1,200",construction,pressurized water reactor,VVER V-509,2023,,"April 3, 2018",,,,,Akkuyu Nuclear Joint Stock Company (JSC),,Akkuyu Nuclear JSC,,"1,114","1,114","3,200",36.1447,33.5402,Exact,Büyükeceli,,,Mersin Province,Western Asia,Asia,L500093,G500181,https://gem.wiki/Akkuyu_nuclear_power_plant
Türkiye,Akkuyu nuclear power plant,2,,,"1,200",construction,pressurized water reactor,VVER V-509,2024,,"April 8, 2020",,,,,Akkuyu Nuclear Joint Stock Company (JSC),,Akkuyu Nuclear JSC,,"1,114","1,114","3,200",36.1447,33.5402,Exact,Büyükeceli,,,Mersin Province,Western Asia,Asia,L500093,G500182,https://gem.wiki/Akkuyu_nuclear_power_plant
Türkiye,Akkuyu nuclear power plant,3,,,"1,200",construction,pressurized water reactor,VVER V-509,2025,,"March 10, 2021",,,,,Akkuyu Nuclear Joint Stock Company (JSC),,Akkuyu Nuclear JSC,,"1,114","1,114","3,200",36.1447,33.5402,Exact,Büyükeceli,,,Mersin Province,Western Asia,Asia,L500093,G500183,https://gem.wiki/Akkuyu_nuclear_power_plant
Türkiye,Akkuyu nuclear power plant,4,,,"1,200",construction,pressurized water reactor,VVER V-509,2026,,"July 21, 2022",,,,,Akkuyu Nuclear Joint Stock Company (JSC),,Akkuyu Nuclear JSC,,"1,114","1,114","3,200",36.1447,33.5402,Exact,Büyükeceli,,,Mersin Province,Western Asia,Asia,L500093,G500184,https://gem.wiki/Akkuyu_nuclear_power_plant
Kazakhstan,Aktau nuclear power plant,,,,90,retired,fast breeder reactor,BN-350,1973,1999,"October 1, 1964","November 1, 1972","July 16, 1973","July 16, 1973","April 22, 1999",Ministry Of Energy Of The Republic Of Kazakhstan,,Mangistau Atomic Energy Complex; Kazatomprom,,52,52,"1,000",43.6092,51.28201,Exact,Aktau,Munaily District,,Mangystau Region,Central Asia,Asia,L500211,G500513,https://gem.wiki/Aktau_nuclear_power_plant
Spain,Almaraz nuclear power plant,1,,,"1,049",operating,pressurized water reactor,WH 3LP,1983,,"July 3, 1973","April 5, 1981","May 1, 1981","September 1, 1983",,Iberdrola; Endesa; Gas Natural,,Centrales Nucleares Almaraz-Trillo,,"1,011",900,"2,947",39.807,-5.6986,Exact,,Campo Arañuelo,Cáceres,Extremadura,Southern Europe,Europe,L500113,G500239,https://gem.wiki/Almaraz_nuclear_power_plant
Spain,Almaraz nuclear power plant,2,,,"1,044",operating,pressurized water reactor,WH 3LP,1984,,"July 3, 1973","September 19, 1983","October 8, 1983","July 1, 1984",,Iberdrola; Endesa; Gas Natural,,Centrales Nucleares Almaraz-Trillo,,"1,006",900,"2,947",39.807,-5.6986,Exact,,Campo Arañuelo,Cáceres,Extremadura,Southern Europe,Europe,L500113,G500240,https://gem.wiki/Almaraz_nuclear_power_plant
