Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Fuel 1,Fuel 2,Fuel 3,Operating Status,Is conversion?,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
Argentina,Fresa Garruchos power station,1,Planta de biomasa Fresa Garruchos,,40,wood & other biomass (solids),,,operating,no conversion,2020,,Fresa (Fuentes Renovables de Energía SA),,Fresa (Fuentes Renovables de Energía SA),,-27.9473,-56.0008,exact,Gobernador Virasoro,,,Corrientes,Latin America and the Caribbean,Americas,L200506,G200575,,,https://gem.wiki/Fresa_Garruchos_power_station
Argentina,Ingenio Tabacal power station,1,Planta de biomasa Ingenio Tabacal,,40,agricultural waste (solids),,,operating,no conversion,2011,,Ingenio y Refinería San Martín del Tabacal SRL,,Ingenio y Refinería San Martín del Tabacal SRL,,-23.2537,-64.2413,exact,Hipólito Yrigoyen,,,Salta,Latin America and the Caribbean,Americas,L200519,G200590,,,https://gem.wiki/Ingenio_Tabacal_power_station
Argentina,La Florida power station,1,Central de biomasa La Florida,,30,agricultural waste (solids),,,construction,no conversion,2023,,Compañía Azucarera Los Balcanes,,Compañía Azucarera Los Balcanes,,-26.8173,-65.0852,exact,La Florida,,,Tucumán,Latin America and the Caribbean,Americas,L200426,G200472,,,https://gem.wiki/La_Florida_power_station
Argentina,La Florida power station,2,Central de biomasa La Florida,,32,agricultural waste (solids),,,construction,no conversion,2023,,Compañía Azucarera Los Balcanes,,Compañía Azucarera Los Balcanes,,-26.8173,-65.0852,exact,La Florida,,,Tucumán,Latin America and the Caribbean,Americas,L200426,G200473,,,https://gem.wiki/La_Florida_power_station
Argentina,Puerto Esperanza biomass power station,1,Planta de biomasa Puerto Esperanza,,40,paper mill wastes,,,operating,no conversion,2010,,Alto Paraná SA,,Alto Paraná SA [100.0%],,-25.9899,-54.6366,exact,Puerto Esperanza,,,Misiones,Latin America and the Caribbean,Americas,L200561,G200641,,,https://gem.wiki/Puerto_Esperanza_biomass_power_station
Argentina,Puerto Piray power station,1,Planta de biomasa Puerto Piray,,38,wood & other biomass (solids),,,operating,no conversion,2009,,Alto Paraná SA,,Alto Paraná SA,,-26.4807,-54.7160,exact,Puerto Piray,,,Misiones,Latin America and the Caribbean,Americas,L200562,G200642,,,https://gem.wiki/Puerto_Piray_power_station
Argentina,San Alonso power station,1,Planta de biomasa San Alonso,,37,paper mill wastes,,,construction,no conversion,2023,,Grupo Insud,,Grupo Insud,,-28.0560,-56.0083,approximate,Gobernador Virasoro,,,Corrientes,Latin America and the Caribbean,Americas,L200420,G200466,,,https://gem.wiki/San_Alonso_power_station
Australia,Broadwater power station,1,,Sunshine Broadwater,38,agricultural waste (solids),wood & other biomass (solids),,operating,no conversion,2007,,Cape Byron Management,,Capital Dynamics,,-29.0175,153.4450,exact,,,,New South Wales,Australia and New Zealand,Oceania,L200402,G200447,WRI: Aus0000268,,https://gem.wiki/Broadwater_power_station
Australia,Cleanaway's Western Sydney Energy & Resource Recovery Bioenergy Centre,1,,Western Sydney Errc,58,refuse (municipal and industrial wastes),,,pre-construction,no conversion,,,,,Cleanaway,,-33.8170,150.8525,exact,Sydney,,,New South Wales,Australia and New Zealand,Oceania,L200407,G200452,,,https://gem.wiki/Cleanaway's_Western_Sydney_Energy_&_Resource_Recovery_Bioenergy_Centre
Australia,Condong Cogeneration power station,1,,Sunshine Condong,30,agricultural waste (solids),wood & other biomass (solids),,operating,no conversion,2007,,Cape Byron Management,,Capital Dynamics,,-28.3107,153.4361,exact,,,,New South Wales,Australia and New Zealand,Oceania,L200403,G200448,WRI: Aus0000263,,https://gem.wiki/Condong_Cogeneration_power_station
