Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Unit Capacity (MW),Project Capacity (MW),Type,Status,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
Ethiopia,Aluto Langano geothermal power plant,Future units,,,70,,unknown type,construction,,,Ethiopian Electric Power (EEP),,Ethiopian Electric Power (EEP),,7.7888,38.7952,exact,,,Arsi,Oromia Region,Sub-Saharan Africa,Africa,L700004,G700008,,,https://gem.wiki/Aluto_Langano_geothermal_power_plant
Ethiopia,Corbetti geothermal power plant,1,,,50,,unknown type,pre-construction,2025,,Corbetti Geothermal,,Reykjavik Geothermal [%]; Berkeley Energy [%]; InfraCo Africa [%],,7.1819,38.4371,approximate,,,Shashamane,Oromiya,Sub-Saharan Africa,Africa,L700034,G700052,,,https://gem.wiki/Corbetti_geothermal_power_plant
Ethiopia,Corbetti geothermal power plant,2,,,100,,unknown type,pre-construction,2025,,Corbetti Geothermal,,Reykjavik Geothermal [%]; Berkeley Energy [%]; InfraCo Africa [%],,7.1819,38.4371,approximate,,,Shashamane,Oromiya,Sub-Saharan Africa,Africa,L700034,G700053,,,https://gem.wiki/Corbetti_geothermal_power_plant
Ethiopia,Tendaho geothermal power plant,,,Tendaho Ayrobera,100,,unknown type,announced,,,Ethiopian Electric Power (EEP),,Ethiopian Electric Power (EEP),,11.6925,40.9563,approximate,,,Tendaho,Afar,Sub-Saharan Africa,Africa,L700173,G700284,,,https://gem.wiki/Tendaho_geothermal_power_plant
Ethiopia,Tulu Moye geothermal power plant,1,,,50,,unknown type,construction,2023,,Meridiam,,Meridiam [50%]; Reykjavik Geothermal [50%],,9.7253,39.3522,approximate,,,Moye,Oromiya,Sub-Saharan Africa,Africa,L700181,G700300,,,https://gem.wiki/Tulu_Moye_geothermal_power_plant
Ethiopia,Tulu Moye geothermal power plant,2,,,100,,unknown type,pre-construction,2025,,Meridiam,,Meridiam [50%]; Reykjavik Geothermal [50%],,9.7253,39.3522,approximate,,,Moye,Oromiya,Sub-Saharan Africa,Africa,L700181,G700301,,,https://gem.wiki/Tulu_Moye_geothermal_power_plant
Kenya,Akiira One geothermal power plant,1,,,70,,unknown type,pre-construction,,,Akiira Geothermal Ltd.,,Akiira Geothermal Ltd.,,-0.3024,36.0805,approximate,,,,Nakuru,Sub-Saharan Africa,Africa,L700002,G700004,,,https://gem.wiki/Akiira_One_geothermal_power_plant
Kenya,Akiira One geothermal power plant,2,,,70,,unknown type,pre-construction,,,Akiira Geothermal Ltd.,,Akiira Geothermal Ltd.,,-0.3024,36.0805,approximate,,,,Nakuru,Sub-Saharan Africa,Africa,L700002,G700005,,,https://gem.wiki/Akiira_One_geothermal_power_plant
Kenya,Baringo-Silali geothermal power plant,Korosi,,,100,,unknown type,pre-construction,,,Geothermal Development Company (GDC),,Geothermal Development Company (GDC),,1.1689,36.1726,approximate,,Mount Silali,,Baringo Province,Sub-Saharan Africa,Africa,L700009,G700015,,,https://gem.wiki/Baringo-Silali_geothermal_power_plant
Kenya,Baringo-Silali geothermal power plant,Paka,,,100,,unknown type,pre-construction,,,Geothermal Development Company (GDC),,Geothermal Development Company (GDC),,1.1689,36.1726,approximate,,Mount Silali,,Baringo Province,Sub-Saharan Africa,Africa,L700009,G700014,,,https://gem.wiki/Baringo-Silali_geothermal_power_plant
Kenya,Baringo-Silali geothermal power plant,Silali,,,100,,unknown type,pre-construction,,,Geothermal Development Company (GDC),,Geothermal Development Company (GDC),,1.1689,36.1726,approximate,,Mount Silali,,Baringo Province,Sub-Saharan Africa,Africa,L700009,G700016,,,https://gem.wiki/Baringo-Silali_geothermal_power_plant
Kenya,Menengai 1 geothermal power plant,1,,,35,105,unknown type,operating,2020,,Sosian Energy,,Geothermal Development Company (GDC),,-0.2137,36.0591,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700103,G700172,,,https://gem.wiki/Menengai_1_geothermal_power_plant
Kenya,Menengai 1 geothermal power plant,2,,,35,105,unknown type,operating,2020,,Quantum East Africa Power Ltd,,Geothermal Development Company (GDC),,-0.2137,36.0591,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700103,G700173,,,https://gem.wiki/Menengai_1_geothermal_power_plant
Kenya,Menengai 1 geothermal power plant,3,,,35,105,unknown type,operating,2020,,Orpower Twenty Two Limited,,Geothermal Development Company (GDC),,-0.2137,36.0591,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700103,G700174,,,https://gem.wiki/Menengai_1_geothermal_power_plant
Kenya,Menengai 2 geothermal power plant,future units,,,60,,unknown type,announced,,,Geothermal Development Company (GDC),,Geothermal Development Company (GDC),,-0.196,36.063,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700104,G700175,,,https://gem.wiki/Menengai_2_geothermal_power_plant
Kenya,Menengai 3 geothermal power plant,future units,,,300,,unknown type,announced,,,Geothermal Development Company (GDC),,Geothermal Development Company (GDC),,-0.196,36.063,approximate,,,,,Sub-Saharan Africa,Africa,L700105,G700176,,,https://gem.wiki/Menengai_3_geothermal_power_plant
Kenya,Olkaria 1 geothermal power plant,4,,,70,268,unknown type,operating,2015,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.891,36.2961,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700130,G700210,WRI: WRI1061219,,https://gem.wiki/Olkaria_1_geothermal_power_plant
Kenya,Olkaria 1 geothermal power plant,5,,,70,268,unknown type,operating,2015,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.891,36.2961,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700130,G700211,WRI: WRI1061219,,https://gem.wiki/Olkaria_1_geothermal_power_plant
Kenya,Olkaria 1 geothermal power plant,6,,,83,268,unknown type,operating,2022,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.8893,36.2557,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700130,G700212,,,https://gem.wiki/Olkaria_1_geothermal_power_plant
Kenya,Olkaria 2 geothermal power plant,1,,,35,105,flash steam - single,operating,2003,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.8644,36.2985,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700131,G700213,WRI: WRI1061221,,https://gem.wiki/Olkaria_2_geothermal_power_plant
Kenya,Olkaria 2 geothermal power plant,2,,,35,105,flash steam - single,operating,2003,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.8644,36.2985,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700131,G700214,WRI: WRI1061221,,https://gem.wiki/Olkaria_2_geothermal_power_plant
Kenya,Olkaria 2 geothermal power plant,3,,,35,105,flash steam - single,operating,2010,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.8644,36.2985,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700131,G700215,WRI: WRI1061221,,https://gem.wiki/Olkaria_2_geothermal_power_plant
Kenya,Olkaria 3 geothermal power plant,1,,,59,150,binary cycle,operating,2000,,"Ormat Technologies, Inc",,"Ormat Technologies, Inc",,-0.889,36.2562,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700132,G700216,WRI: WRI1061220,,https://gem.wiki/Olkaria_3_geothermal_power_plant
Kenya,Olkaria 3 geothermal power plant,2,,,36,150,binary cycle,operating,2009,,"Ormat Technologies, Inc",,"Ormat Technologies, Inc",,-0.889,36.2562,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700132,G700217,WRI: WRI1061220,,https://gem.wiki/Olkaria_3_geothermal_power_plant
Kenya,Olkaria 4 geothermal power plant,1,,,70,140,flash steam - single,operating,2014,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.9186,36.3338,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700133,G700218,WRI: WRI1061217,,https://gem.wiki/Olkaria_4_geothermal_power_plant
Kenya,Olkaria 4 geothermal power plant,2,,,70,140,flash steam - single,operating,2014,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.9186,36.3338,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700133,G700219,WRI: WRI1061217,,https://gem.wiki/Olkaria_4_geothermal_power_plant
Kenya,Olkaria 5 geothermal power plant,1,,,82,165,flash steam - single,operating,2019,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.907,36.3232,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700134,G700220,,,https://gem.wiki/Olkaria_5_geothermal_power_plant
Kenya,Olkaria 5 geothermal power plant,2,,,82,165,flash steam - single,operating,2019,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.907,36.3232,exact,,,,Nakuru,Sub-Saharan Africa,Africa,L700134,G700221,,,https://gem.wiki/Olkaria_5_geothermal_power_plant
Kenya,Olkaria 6 geothermal power plant,1,,,140,,unknown type,pre-construction,,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.8644,36.2985,approximate,,Sulmac Village,,Nakuru,Sub-Saharan Africa,Africa,L700135,G700222,,,https://gem.wiki/Olkaria_6_geothermal_power_plant
Kenya,Olkaria 6 geothermal power plant,Future Units,,,420,,unknown type,announced,,,Kenya Electricity Generating Company PLC (KenGen),,Kenya Electricity Generating Company PLC (KenGen),,-0.8644,36.2985,approximate,,Sulmac Village,,Nakuru,Sub-Saharan Africa,Africa,L700135,G700223,,,https://gem.wiki/Olkaria_6_geothermal_power_plant
